DateTime,Entries,UniqueIPs
1439397120,4879,4879
1439411520,4884,4884
1439425920,4891,4891
1439440320,4898,4898
1439454720,4910,4910
1439469120,4909,4909
1439483520,4915,4915
1439497920,4943,4943
1439512320,4954,4954
1439526720,4962,4962
1439541120,4975,4975
1439555520,4990,4990
1439569920,5001,5001
1439584320,5000,5000
1439598720,5008,5008
1439613120,5012,5012
1439627520,5017,5017
1439641920,4985,4985
1439641920,4985,4985
1439656320,4986,4986
1439670720,4983,4983
1439685120,4991,4991
1439699520,4997,4997
1439713920,4995,4995
1439728320,4992,4992
1439742720,4984,4984
1439757120,4986,4986
1439771520,4988,4988
1439785920,4990,4990
1439800320,4992,4992
1439814720,4970,4970
1439829120,4974,4974
1439843520,4964,4964
1439857920,4982,4982
1439872320,5000,5000
1439886720,4999,4999
1439901120,5001,5001
1439915520,4997,4997
1439929920,4993,4993
1439944320,5001,5001
1439958720,5004,5004
1439973120,5000,5000
1439987520,5001,5001
1440001920,5009,5009
1440016320,5010,5010
1440030720,5015,5015
1440045120,5018,5018
1440059520,5012,5012
1440073920,5017,5017
1440088320,5021,5021
1440102720,5026,5026
1440117120,5031,5031
1440131520,5038,5038
1440145920,5040,5040
1440160320,5045,5045
1440160320,5045,5045
1440174720,5056,5056
1440189120,5052,5052
1440203520,5051,5051
1440217920,5055,5055
1440232320,5057,5057
1440246720,5052,5052
1440261120,5055,5055
1440275520,5052,5052
1440289920,5070,5070
1440304320,5080,5080
1440318720,5069,5069
1440333120,5067,5067
1440347520,5067,5067
1440361920,5066,5066
1440376920,5077,5077
1440391320,5084,5084
1440405720,5084,5084
1440420120,5086,5086
1440434520,5083,5083
1440448920,5085,5085
1440463320,5091,5091
1440477720,5095,5095
1440492120,5104,5104
1440506520,5114,5114
1440520920,5117,5117
1440535320,5115,5115
1440549720,5125,5125
1440564120,5149,5149
1440578520,5156,5156
1440592920,5172,5172
1440607320,5196,5196
1440621720,5216,5216
1440636120,5228,5228
1440650520,5245,5245
1440664920,5267,5267
1440664920,5267,5267
1440679320,5277,5277
1440693720,5277,5277
1440708120,5286,5286
1440722520,5285,5285
1440736920,5293,5293
1440751320,5292,5292
1440765720,5297,5297
1440780120,5302,5302
1440794520,5303,5303
1440808920,5308,5308
1440823320,5309,5309
1440837720,5304,5304
1440852120,5307,5307
1440866520,5310,5310
1440880920,5316,5316
1440895320,5325,5325
1440909720,5331,5331
1440924120,5343,5343
1440938520,5298,5298
1440952920,5301,5301
1440967320,5308,5308
1440996120,5311,5311
1441010520,5311,5311
1441024920,5310,5310
1441040820,5315,5315
1441055220,5319,5319
1441069620,5319,5319
1441084020,5318,5318
1441098420,5326,5326
1441112820,5324,5324
1441127220,5325,5325
1441141620,5327,5327
1441156020,5319,5319
1441170420,5322,5322
1441184820,5315,5315
1441199220,5309,5309
1441213620,5307,5307
1441228020,5303,5303
1441242420,5307,5307
1441256820,5302,5302
1441271220,5299,5299
1441285620,5305,5305
1441300020,5298,5298
1441314420,5290,5290
1441328820,5302,5302
1441343220,5297,5297
1441357620,5293,5293
1441372020,5297,5297
1441386420,5293,5293
1441400820,5297,5297
1441417020,5297,5297
1441431720,5297,5297
1441446120,5297,5297
1441460520,5311,5311
1441474920,5310,5310
1441489320,5300,5300
1441503720,5294,5294
1441518120,5281,5281
1441532520,5290,5290
1441546920,5297,5297
1441561320,5291,5291
1441575720,5284,5284
1441590120,5308,5308
1441604520,5312,5312
1441618920,5320,5320
1441633320,5379,5379
1441647720,5435,5435
1441662120,5443,5443
1441676520,5451,5451
1441690920,5460,5460
1441705320,5463,5463
1441719720,5468,5468
1441734120,5472,5472
1441748520,5482,5482
1441762920,5493,5493
1441777320,5506,5506
1441791720,5516,5516
1441806120,5517,5517
1441807320,5516,5516
1441876022,5597,5597
1441890422,5612,5612
1441904823,5655,5655
1441919823,5674,5674
1441934523,5688,5688
1441948923,5688,5688
1441963327,5693,5693
1441977723,5703,5703
1441992123,5688,5688
1442006823,5677,5677
1442021539,5676,5676
1442036528,5676,5676
1442051027,5667,5667
1442065938,5665,5665
1442080623,5668,5668
1442094819,5670,5670
1442109425,5674,5674
1442123823,5675,5675
1442138223,5670,5670
1442152623,5609,5609
1442167031,5545,5545
1442181554,5536,5536
1442196422,5534,5534
1442210822,5536,5536
1442225222,5534,5534
1442240222,5542,5542
1442255222,5552,5552
1442269922,5567,5567
1442284322,5561,5561
1442298723,5562,5562
1442313122,5579,5579
1442327522,5577,5577
1442341922,5586,5586
1442356323,5610,5610
1442370722,5621,5621
1442385122,5630,5630
1442399523,5634,5634
1442413922,5657,5657
1442428622,5665,5665
1442443322,5660,5660
1442457723,5660,5660
1442472122,5658,5658
