DateTime,Entries,UniqueIPs
1434197235,937,9129600
1434283635,937,9129600
1434283635,937,9129600
1434542832,936,9129344
1434629234,936,9129344
1434629234,936,9129344
1434715632,934,9127040
1435061229,936,9129088
1435147643,937,9130112
1435406833,938,9131136
1436443632,940,9133184
1436530034,941,9134208
1437134840,940,9133184
1437739633,939,9132672
1438085235,940,9133696
1438258044,941,9134720
1438344436,942,9135744
1438776441,943,9136768
1439035640,944,9137792
1439122061,944,9137792
1439122061,944,9137792
1439122061,944,9137792
1439208442,944,9137792
1439640436,944,9137792
1440158843,944,9137792
1440590838,944,9137792
1440763639,946,9139840
1441109235,947,9140864
1441368438,948,9141888
1441714034,950,9143936
