DateTime,Entries,UniqueIPs
1440103178,137,137
1440118598,141,141
1440121416,140,140
1440130041,137,137
1440133648,141,141
1440138832,138,138
1440138832,138,138
1440165368,137,137
1440171355,140,140
1440179859,138,138
1440190306,136,136
1440198531,142,142
1440208439,142,142
1440215600,137,137
1440222162,142,142
1440225236,139,139
1440248053,142,142
1440250975,137,137
1440263786,137,137
1440265242,134,134
1440276732,135,135
1440280450,139,139
1440296232,143,143
1440302821,138,138
1440309710,142,142
1440311923,136,136
1440337884,137,137
1440342813,143,143
1440347464,143,143
1440351859,139,139
1440362874,140,140
1440369702,142,142
1440383077,141,141
1440388847,137,137
1440394357,139,139
1440398659,137,137
1440423814,138,138
1440427487,140,140
1440428977,141,141
1440437845,137,137
1440448449,142,142
1440453173,145,145
1440472547,144,144
1440477812,142,142
1440484370,142,142
1440505528,144,144
1440510664,141,141
1440524573,140,140
1440528818,144,144
1440535564,139,139
1440542158,145,145
1440555176,144,144
1440563757,144,144
1440571487,143,143
1440597921,140,140
1440601277,144,144
1440601983,146,146
1440611788,141,141
1440621900,141,141
1440636518,144,144
1440641142,142,142
1440649174,142,142
1440660097,142,142
1440660097,142,142
1440683847,141,141
1440689891,143,143
1440699691,142,142
1440708325,144,144
1440716440,142,142
1440726422,143,143
1440733516,142,142
1440735665,143,143
1440744279,143,143
1440762868,143,143
1440773421,146,146
1440783383,142,142
1440793793,144,144
1440800189,145,145
1440821663,145,145
1440829683,143,143
1440848852,143,143
1440855844,143,143
1440867025,143,143
1440870523,143,143
1440881340,141,141
1440886174,144,144
1440898399,144,144
1440906144,138,138
1440909101,140,140
1440916978,142,142
1440936318,143,143
1440942830,141,141
1440944950,138,138
1440956351,139,139
1440966740,138,138
1440974098,141,141
1440984511,142,142
1440995240,139,139
1441002722,138,138
1441021630,139,139
1441028250,138,138
1441039396,140,140
1441042055,137,137
1441052803,139,139
1441055610,141,141
1441078284,140,140
1441081068,141,141
1441088976,141,141
1441107833,141,141
1441117012,138,138
1441126149,141,141
1441129082,137,137
1441139658,137,137
1441154006,139,139
1441158206,138,138
1441165539,135,135
1441167859,138,138
1441175751,135,135
1441193324,139,139
1441202322,138,138
1441209453,141,141
1441214589,140,140
1441226130,141,141
1441235545,143,143
1441252206,142,142
1441254487,141,141
1441262475,142,142
1441282248,143,143
1441287389,141,141
1441290823,141,141
1441301280,142,142
1441311629,141,141
1441316107,145,145
1441338240,142,142
1441347745,140,140
1441367857,143,143
1441374029,142,142
1441383790,143,143
1441387490,143,143
1441397744,143,143
1441405339,142,142
1441423689,140,140
1441424158,141,141
1441434312,139,139
1441454726,139,139
1441460268,139,139
1441473748,138,138
1441484089,140,140
1441489202,142,142
1441509592,141,141
1441512843,141,141
1441522467,140,140
1441546834,141,141
1441551168,144,144
1441559009,141,141
1441560378,142,142
1441575679,143,143
1441597359,142,142
1441600904,141,141
1441601394,140,140
1441608000,142,142
1441629923,142,142
1441633515,141,141
1441637224,139,139
1441646797,141,141
1441657792,139,139
1441662864,141,141
1441686003,141,141
1441695755,141,141
1441716245,141,141
1441720935,141,141
1441733219,140,140
1441733620,141,141
1441745100,141,141
1441750503,139,139
1441772324,141,141
1441780401,137,137
1441800559,137,137
1441807927,137,137
1441819230,140,140
1441821028,140,140
1441831468,140,140
1441844711,142,142
1441848587,143,143
1441859563,142,142
1441867580,141,141
1441887796,143,143
1441896464,139,139
1441906645,141,141
1441917899,140,140
1441924427,142,142
1441942712,139,139
1441945742,139,139
1441947828,141,141
1441954098,139,139
1441973041,141,141
1441982491,138,138
1441993273,137,137
1442004717,139,139
1442008960,140,140
1442022464,141,141
1442028564,139,139
1442033276,140,140
1442039315,141,141
1442066574,142,142
1442069069,142,142
1442076738,142,142
1442079234,142,142
1442089862,140,140
1442095460,141,141
1442115970,149,149
1442125951,146,146
1442127465,146,146
1442152456,148,148
1442154423,149,149
1442165367,141,141
1442175974,142,142
1442180131,142,142
1442201301,142,142
1442203386,142,142
1442211998,143,143
1442241375,142,142
1442253603,144,144
1442263931,141,141
1442267525,142,142
1442283803,141,141
