DateTime,Entries,UniqueIPs
1434197235,355,7567616
1434283635,355,7567616
1434283635,355,7567616
1434629234,355,7567616
1434629234,355,7567616
1435061229,356,7568640
1435234037,357,7569664
1435838844,358,7570688
1436530034,359,7571712
1437134840,360,7572736
1437566840,359,7572224
1437739633,360,7573248
1438171637,361,7574272
1439122061,361,7574272
1439122061,361,7574272
1439122061,361,7574272
1439208442,361,7574272
1439640436,361,7574272
1440158843,361,7574272
1440590838,362,7575296
1440590838,362,7575296
1441454835,364,7577344
